time,T,RH,light
2017-08-27 22:00:00-08:00,23.3,80,0
2017-08-27 22:15:00-08:00,23.17073863636364,80,0
2017-08-27 22:30:00-08:00,23.050000000000004,80,0
2017-08-27 22:45:00-08:00,22.929261363636364,80,0
2017-08-27 23:00:00-08:00,22.8,80,0
2017-08-27 23:15:00-08:00,22.629545454545454,80,0
2017-08-27 23:30:00-08:00,22.43181818181818,80,0
2017-08-27 23:45:00-08:00,22.268181818181816,80,0
2017-08-28 00:00:00-08:00,22.2,80,0
2017-08-28 00:15:00-08:00,22.2,80,0
2017-08-28 00:30:00-08:00,22.199999999999996,80,0
2017-08-28 00:45:00-08:00,22.2,80,0
2017-08-28 01:00:00-08:00,22.2,80,0
2017-08-28 01:15:00-08:00,22.29375,80,0
2017-08-28 01:30:00-08:00,22.5,80,0
2017-08-28 01:45:00-08:00,22.70625,80,0
2017-08-28 02:00:00-08:00,22.8,80,0
2017-08-28 02:15:00-08:00,22.628125,80,0
2017-08-28 02:30:00-08:00,22.25,80,0
2017-08-28 02:45:00-08:00,21.871875,80,0
2017-08-28 03:00:00-08:00,21.7,80,0
2017-08-28 03:15:00-08:00,21.7,80,0
2017-08-28 03:30:00-08:00,21.699999999999996,80,0
2017-08-28 03:45:00-08:00,21.7,80,0
2017-08-28 04:00:00-08:00,21.7,80,0
2017-08-28 04:15:00-08:00,21.63181818181818,80,0
2017-08-28 04:30:00-08:00,21.468181818181815,80,0
2017-08-28 04:45:00-08:00,21.270454545454548,80,0
2017-08-28 05:00:00-08:00,21.1,80,0
2017-08-28 05:15:00-08:00,20.94517045454546,80,0
2017-08-28 05:30:00-08:00,20.781818181818185,80,0
2017-08-28 05:45:00-08:00,20.65255681818182,80,0
2017-08-28 06:00:00-08:00,20.6,80,1
2017-08-28 06:15:00-08:00,20.924076704545456,80,1
2017-08-28 06:30:00-08:00,21.689204545454547,80,1
2017-08-28 06:45:00-08:00,22.58473011363636,80,1
2017-08-28 07:00:00-08:00,23.3,80,1
2017-08-28 07:15:00-08:00,23.759853219696964,80,1
2017-08-28 07:30:00-08:00,24.146351010101007,80,1
2017-08-28 07:45:00-08:00,24.534673295454546,80,1
2017-08-28 08:00:00-08:00,25.0,80,1
2017-08-28 08:15:00-08:00,25.582201492537312,80,1
2017-08-28 08:30:00-08:00,26.256981757877284,80,1
2017-08-28 08:45:00-08:00,27.003271144278607,80,1
2017-08-28 09:00:00-08:00,27.8,80,1
2017-08-28 09:15:00-08:00,28.718196658751697,80,1
2017-08-28 09:30:00-08:00,29.75859905020353,80,1
2017-08-28 09:45:00-08:00,30.794701916553596,80,1
2017-08-28 10:00:00-08:00,31.7,80,1
2017-08-28 10:15:00-08:00,32.472798295454545,80,1
2017-08-28 10:30:00-08:00,33.18806818181818,80,1
2017-08-28 10:45:00-08:00,33.834303977272725,80,1
2017-08-28 11:00:00-08:00,34.4,80,1
2017-08-28 11:15:00-08:00,34.86911604020979,80,1
2017-08-28 11:30:00-08:00,35.27105186480187,80,1
2017-08-28 11:45:00-08:00,35.66246175699301,80,1
2017-08-28 12:00:00-08:00,36.1,80,1
2017-08-28 12:15:00-08:00,36.71346153846154,80,1
2017-08-28 12:30:00-08:00,37.43974358974359,80,1
2017-08-28 12:45:00-08:00,38.04615384615384,80,1
2017-08-28 13:00:00-08:00,38.3,80,1
2017-08-28 13:15:00-08:00,38.221875,80,1
2017-08-28 13:30:00-08:00,38.05,80,1
2017-08-28 13:45:00-08:00,37.878125,80,1
2017-08-28 14:00:00-08:00,37.8,80,1
2017-08-28 14:15:00-08:00,37.878125,80,1
2017-08-28 14:30:00-08:00,38.05,80,1
2017-08-28 14:45:00-08:00,38.221875,80,1
2017-08-28 15:00:00-08:00,38.3,80,1
2017-08-28 15:15:00-08:00,37.8895625,80,1
2017-08-28 15:30:00-08:00,36.930499999999995,80,1
2017-08-28 15:45:00-08:00,35.8311875,80,1
2017-08-28 16:00:00-08:00,35.0,80,1
2017-08-28 16:15:00-08:00,34.481424107142864,80,1
2017-08-28 16:30:00-08:00,34.03646428571429,80,1
2017-08-28 16:45:00-08:00,33.64827232142857,80,1
2017-08-28 17:00:00-08:00,33.3,80,1
2017-08-28 17:15:00-08:00,32.94029017857142,80,1
2017-08-28 17:30:00-08:00,32.583035714285714,80,1
2017-08-28 17:45:00-08:00,32.30926339285715,80,1
2017-08-28 18:00:00-08:00,32.2,80,0
2017-08-28 18:15:00-08:00,32.2,80,0
2017-08-28 18:30:00-08:00,32.2,80,0
2017-08-28 18:45:00-08:00,32.2,80,0
2017-08-28 19:00:00-08:00,32.2,80,0
2017-08-28 19:15:00-08:00,32.465625,80,0
2017-08-28 19:30:00-08:00,33.05,80,0
2017-08-28 19:45:00-08:00,33.634375,80,0
2017-08-28 20:00:00-08:00,33.9,80,0
2017-08-28 20:15:00-08:00,33.168973214285714,80,0
2017-08-28 20:30:00-08:00,31.53392857142857,80,0
2017-08-28 20:45:00-08:00,29.83191964285714,80,0
2017-08-28 21:00:00-08:00,28.9,80,0
2017-08-28 21:15:00-08:00,28.69197741596638,80,0
2017-08-28 21:30:00-08:00,28.56313025210084,80,0
2017-08-28 21:45:00-08:00,28.45271796218487,80,0
2017-08-28 22:00:00-08:00,28.3,80,0
2017-08-28 22:15:00-08:00,28.070496323529415,80,0
2017-08-28 22:30:00-08:00,27.790441176470587,80,0
2017-08-28 22:45:00-08:00,27.490165441176472,80,0
2017-08-28 23:00:00-08:00,27.2,80,0
2017-08-28 23:15:00-08:00,26.8734375,80,0
2017-08-28 23:30:00-08:00,26.5125,80,0
2017-08-28 23:45:00-08:00,26.220312500000002,80,0
2017-08-29 00:00:00-08:00,26.1,80,0
2017-08-29 00:15:00-08:00,26.1,80,0
2017-08-29 00:30:00-08:00,26.1,80,0
2017-08-29 00:45:00-08:00,26.1,80,0
2017-08-29 01:00:00-08:00,26.1,80,0
2017-08-29 01:15:00-08:00,26.19375,80,0
2017-08-29 01:30:00-08:00,26.4,80,0
2017-08-29 01:45:00-08:00,26.606250000000003,80,0
2017-08-29 02:00:00-08:00,26.7,80,0
2017-08-29 02:15:00-08:00,26.642647058823528,80,0
2017-08-29 02:30:00-08:00,26.49705882352941,80,0
2017-08-29 02:45:00-08:00,26.30294117647059,80,0
2017-08-29 03:00:00-08:00,26.1,80,0
2017-08-29 03:15:00-08:00,25.85533088235294,80,0
2017-08-29 03:30:00-08:00,25.55,80,0
2017-08-29 03:45:00-08:00,25.24466911764706,80,0
2017-08-29 04:00:00-08:00,25.0,80,0
2017-08-29 04:15:00-08:00,24.79705882352941,80,0
2017-08-29 04:30:00-08:00,24.602941176470587,80,0
2017-08-29 04:45:00-08:00,24.457352941176467,80,0
2017-08-29 05:00:00-08:00,24.4,80,0
2017-08-29 05:15:00-08:00,24.45735294117647,80,0
2017-08-29 05:30:00-08:00,24.602941176470587,80,0
2017-08-29 05:45:00-08:00,24.79705882352941,80,0
2017-08-29 06:00:00-08:00,25.0,80,1
2017-08-29 06:15:00-08:00,25.28106617647059,80,1
2017-08-29 06:30:00-08:00,25.647058823529413,80,1
2017-08-29 06:45:00-08:00,25.964522058823533,80,1
2017-08-29 07:00:00-08:00,26.1,80,1
2017-08-29 07:15:00-08:00,26.1,80,1
2017-08-29 07:30:00-08:00,26.1,80,1
2017-08-29 07:45:00-08:00,26.1,80,1
2017-08-29 08:00:00-08:00,26.1,80,1
2017-08-29 08:15:00-08:00,26.31188524590164,80,1
2017-08-29 08:30:00-08:00,26.848360655737707,80,1
2017-08-29 08:45:00-08:00,27.56065573770492,80,1
2017-08-29 09:00:00-08:00,28.3,80,1
2017-08-29 09:15:00-08:00,29.152170754832394,80,1
2017-08-29 09:30:00-08:00,30.19417665769513,80,1
2017-08-29 09:45:00-08:00,31.264094231710303,80,1
2017-08-29 10:00:00-08:00,32.2,80,1
2017-08-29 10:15:00-08:00,32.99672885572139,80,1
2017-08-29 10:30:00-08:00,33.74301824212272,80,1
2017-08-29 10:45:00-08:00,34.417798507462685,80,1
2017-08-29 11:00:00-08:00,35.0,80,1
2017-08-29 11:15:00-08:00,35.473221153846154,80,1
2017-08-29 11:30:00-08:00,35.874700854700855,80,1
2017-08-29 11:45:00-08:00,36.263830128205136,80,1
2017-08-29 12:00:00-08:00,36.7,80,1
2017-08-29 12:15:00-08:00,37.275267094017096,80,1
2017-08-29 12:30:00-08:00,37.93789173789173,80,1
2017-08-29 12:45:00-08:00,38.53157051282051,80,1
2017-08-29 13:00:00-08:00,38.9,80,1
2017-08-29 13:15:00-08:00,39.092708333333334,80,1
2017-08-29 13:30:00-08:00,39.25185185185185,80,1
2017-08-29 13:45:00-08:00,39.36006944444445,80,1
2017-08-29 14:00:00-08:00,39.4,80,1
2017-08-29 14:15:00-08:00,39.2603515625,80,1
2017-08-29 14:30:00-08:00,38.9359375,80,1
2017-08-29 14:45:00-08:00,38.5685546875,80,1
2017-08-29 15:00:00-08:00,38.3,80,1
2017-08-29 15:15:00-08:00,38.150763494318184,80,1
2017-08-29 15:30:00-08:00,38.03224431818182,80,1
2017-08-29 15:45:00-08:00,37.922602982954544,80,1
2017-08-29 16:00:00-08:00,37.8,80,1
2017-08-29 16:15:00-08:00,37.67829545454545,80,1
2017-08-29 16:30:00-08:00,37.561818181818175,80,1
2017-08-29 16:45:00-08:00,37.41443181818182,80,1
2017-08-29 17:00:00-08:00,37.2,80,1
2017-08-29 17:15:00-08:00,36.55073863636365,80,1
2017-08-29 17:30:00-08:00,35.403636363636366,80,1
2017-08-29 17:45:00-08:00,34.17971590909091,80,1
2017-08-29 18:00:00-08:00,33.3,80,0
2017-08-29 18:15:00-08:00,32.7920202020202,80,0
2017-08-29 18:30:00-08:00,32.3793265993266,80,0
